DATA,UNIDADE,PRECO
2019-06-07,arroba,93.47
2019-06-10,arroba,93.47
2019-06-11,arroba,93.47
2019-06-12,arroba,88.37
2019-06-13,arroba,88.37
2019-06-17,arroba,88.37
2019-06-18,arroba,88.37
2019-06-19,arroba,88.37
2019-06-25,arroba,88.37
2019-06-26,arroba,88.37
2019-06-27,arroba,88.37
2019-06-28,arroba,88.37
2019-07-03,arroba,88.37
2019-07-04,arroba,88.37
2019-07-05,arroba,88.37
2019-07-08,arroba,88.37
2019-07-09,arroba,88.37
2019-07-10,arroba,88.37
2019-07-11,arroba,88.37
2019-07-12,arroba,88.37
2019-07-15,arroba,88.37
2019-07-16,arroba,88.37
2019-07-17,arroba,88.37
2019-07-18,arroba,83.28
2019-07-19,arroba,83.28
2019-07-22,arroba,83.28
2019-07-23,arroba,83.28
2019-07-24,arroba,83.28
2019-07-25,arroba,83.28
2019-07-26,arroba,83.28
2019-07-29,arroba,83.28
2019-07-30,arroba,84.28
2019-07-31,arroba,84.28
2019-08-01,arroba,84.28
2019-08-02,arroba,85.31
2019-08-05,arroba,85.31
2019-08-06,arroba,85.31
2019-08-07,arroba,83.96
2019-08-08,arroba,83.96
2019-08-09,arroba,83.96
2019-08-12,arroba,83.96
2019-08-13,arroba,84.3
2019-08-14,arroba,84.3
2019-08-15,arroba,84.3
2019-08-16,arroba,84.3
2019-08-19,arroba,84.3
2019-08-20,arroba,81.78
2019-08-21,arroba,81.58
2019-08-22,arroba,81.58
2019-08-23,arroba,81.58
2019-08-26,arroba,81.58
2019-08-27,arroba,81.58
2019-08-28,arroba,81.58
2019-08-29,arroba,81.58
2019-08-30,arroba,81.58
2019-09-02,arroba,81.58
2019-09-03,arroba,81.58
2019-09-04,arroba,72.06
2019-09-05,arroba,72.06
2019-09-06,arroba,72.0
2019-09-09,arroba,72.0
2019-09-10,arroba,72.0
2019-09-11,arroba,72.0
2019-09-12,arroba,79.88
2019-09-13,arroba,79.88
2019-09-16,arroba,79.88
2019-09-17,arroba,84.98
2019-09-18,arroba,84.98
2019-09-19,arroba,84.98
2019-09-20,arroba,84.98
2019-09-23,arroba,84.98
2019-09-24,arroba,84.98
2019-09-25,arroba,84.98
2019-09-26,arroba,84.98
2019-09-27,arroba,84.98
2019-09-30,arroba,83.28
2019-10-01,arroba,83.28
2019-10-02,arroba,83.28
2019-10-03,arroba,83.28
2019-10-04,arroba,83.28
2019-10-07,arroba,83.28
2019-10-08,arroba,83.28
2019-10-09,arroba,84.98
2019-10-10,arroba,84.98
2019-10-11,arroba,84.98
2019-10-14,arroba,84.98
2019-10-15,arroba,84.98
2019-10-16,arroba,84.98
2019-10-17,arroba,84.98
2019-10-18,arroba,84.98
2019-10-21,arroba,84.98
2019-10-22,arroba,79.98
2019-10-23,arroba,84.98
2019-10-24,arroba,84.98
2019-10-25,arroba,84.98
2019-10-29,arroba,84.98
2019-10-30,arroba,84.98
2019-10-31,arroba,88.37
2019-11-01,arroba,88.37
2019-11-04,arroba,88.37
2019-11-05,arroba,88.37
2019-11-06,arroba,88.37
2019-11-07,arroba,88.37
2019-11-08,arroba,88.37
2019-11-11,arroba,88.37
2019-11-12,arroba,91.77
2019-11-13,arroba,91.77
2019-11-14,arroba,91.77
2019-11-18,arroba,91.77
2019-11-19,arroba,91.77
2019-11-20,arroba,91.77
2019-11-21,arroba,91.77
2019-11-22,arroba,91.77
2019-11-25,arroba,91.77
2019-11-26,arroba,91.77
2019-11-27,arroba,91.77
2019-11-28,arroba,90.07
2019-11-29,arroba,90.07
2019-12-02,arroba,90.07
2019-12-03,arroba,90.07
2019-12-04,arroba,95.17
2019-12-05,arroba,95.17
2019-12-06,arroba,95.17
2019-12-09,arroba,90.07
2019-12-10,arroba,94.15
2019-12-11,arroba,94.15
2019-12-12,arroba,94.15
2019-12-13,arroba,94.15
2019-12-16,arroba,94.15
2019-12-17,arroba,94.15
2019-12-18,arroba,94.15
2019-12-19,arroba,90.07
2019-12-20,arroba,90.07
2019-12-26,arroba,84.98
2019-12-27,arroba,84.98
2020-01-02,arroba,84.98
2020-01-03,arroba,84.98
2020-01-06,arroba,84.98
2020-01-07,arroba,84.98
2020-01-08,arroba,84.98
2020-01-09,arroba,84.98
2020-01-10,arroba,84.98
2020-01-13,arroba,86.98
2020-01-14,arroba,86.98
2020-01-15,arroba,86.98
2020-01-17,arroba,86.98
2020-01-20,arroba,90.07
2020-01-21,arroba,91.26
2020-01-22,arroba,91.26
2020-01-23,arroba,90.92
2020-01-24,arroba,90.92
2020-01-27,arroba,90.92
2020-01-28,arroba,94.32
2020-01-29,arroba,94.32
2020-01-30,arroba,94.66
2020-01-31,arroba,94.66
2020-02-03,arroba,94.66
2020-02-04,arroba,98.06
2020-02-05,arroba,98.06
2020-02-06,arroba,98.06
2020-02-07,arroba,94.66
2020-02-10,arroba,96.02
2020-02-11,arroba,96.02
2020-02-12,arroba,96.02
2020-02-13,arroba,95.68
2020-02-14,arroba,95.68
2020-02-17,arroba,95.68
2020-02-18,arroba,95.68
2020-02-19,arroba,95.68
2020-02-20,arroba,97.89
2020-02-27,arroba,97.89
2020-02-28,arroba,94.83
2020-03-02,arroba,94.83
2020-03-03,arroba,93.98
2020-03-04,arroba,97.38
2020-03-05,arroba,96.02
2020-03-06,arroba,96.53
2020-03-09,arroba,95.17
2020-03-10,arroba,95.17
2020-03-11,arroba,95.17
2020-03-12,arroba,95.17
2020-03-13,arroba,95.17
2020-03-16,arroba,99.08
2020-03-17,arroba,99.08
2020-03-18,arroba,99.08
2020-03-19,arroba,99.08
2020-03-19,arroba,99.08
2020-03-20,arroba,99.08
2020-03-20,arroba,99.08
2020-03-23,arroba,99.08
2020-03-23,arroba,99.08
2020-03-24,arroba,99.08
2020-03-24,arroba,99.08
2020-03-25,arroba,99.08
2020-03-25,arroba,99.08
2020-03-26,arroba,99.08
2020-03-26,arroba,99.08
2020-03-27,arroba,99.08
2020-03-27,arroba,99.08
2020-03-30,arroba,100.61
2020-03-31,arroba,100.61
2020-04-01,arroba,100.61
2020-04-02,arroba,100.61
2020-04-03,arroba,100.61
2020-04-06,arroba,100.61
2020-04-07,arroba,100.61
2020-04-08,arroba,100.61
2020-04-09,arroba,100.61
2020-04-14,arroba,100.61
2020-04-15,arroba,100.61
2020-04-16,arroba,100.61
2020-04-17,arroba,100.61
2020-04-20,arroba,100.61
2020-04-22,arroba,100.61
2020-04-23,arroba,100.61
2020-04-24,arroba,100.61
2020-04-24,arroba,100.61
2020-04-27,arroba,100.61
2020-04-27,arroba,100.61
2020-04-27,arroba,100.61
2020-04-28,arroba,100.61
2020-04-28,arroba,100.61
2020-04-28,arroba,100.61
2020-04-29,arroba,100.61
2020-04-29,arroba,100.61
2020-04-29,arroba,100.61
2020-04-30,arroba,100.61
2020-04-30,arroba,100.61
